,num_ue,cost,alpha
0,100.0,2505.803661277819,0.8
0,100.0,1946.1487261040654,1.6
0,100.0,2394.3572066421734,2.5
0,150.0,3726.9126208542334,0.8
0,150.0,3873.905400222318,1.6
0,150.0,3388.3972604969667,2.5
0,200.0,5409.857123632737,0.8
0,200.0,4691.927181790084,1.6
0,200.0,3139.922135999179,2.5
0,250.0,7031.5175805653535,0.8
0,250.0,6360.034345455909,1.6
0,250.0,6372.844641213708,2.5
0,300.0,5681.344596518889,0.8
0,300.0,7510.995592941622,1.6
0,300.0,7482.750389099292,2.5
0,350.0,8705.108707549294,0.8
0,350.0,5729.9043582915,1.6
0,350.0,8860.424399971227,2.5
0,400.0,7527.882422592695,0.8
0,400.0,9356.50764618219,1.6
0,400.0,14440.40583506989,2.5
