,num_ue,cost,alpha
0,100.0,1540.849212758967,2.5
0,500.0,11812.826012166923,2.5
0,1000.0,25846.5479153508,2.5
0,1500.0,32711.262175088796,2.5
0,100.0,1941.1605581593396,4.5
0,500.0,9751.70709423485,4.5
0,1000.0,18306.47352426366,4.5
0,100.0,2349.183338111793,6.5
0,500.0,8965.482488057241,6.5
0,1000.0,26426.709388325304,6.5
0,100.0,2368.1485204107767,8.5
0,500.0,11829.564631062243,8.5
0,1000.0,21281.010853867843,8.5
0,1500.0,40380.73617426442,4.5
0,1500.0,26261.700619874082,6.5
0,1500.0,38453.671142938096,8.5
